fips,white,black,hispanic,asian,no_high_sch,high_sch%,some_col%,college%,unemployment,med_hh_income,med_hh_income_pct_state,rural_urban_continuum,urban_influence,metro_code,population,pop_change,nat_incr_rate,intl_migration,poverty_pct,child_poverty,ppl_per_sq_mi,majority
20167,95.3,2.1,1.6,0.5,11.9,27.2,37.7,23.1,2.9,46112,74.34062195,7,9,0,6856,-46,-3.5,-7,14.4,295,7.9,R
20169,82.1,6.3,9.7,2.1,8.5,30.1,34.1,27.3,3,56741,91.4764328,5,8,0,54224,-163,3.4,2,12.3,2072,77.2,R
20171,83,1.6,15.3,0.5,15.6,27,32.4,25.1,1.9,62914,101.4283905,7,9,0,4823,-86,-0.2,-2,7.9,140,6.9,R
20173,69.9,13.3,13,4.1,10.4,26.3,32.4,30.9,3.5,60014,96.75308228,2,2,1,516042,2558,4.3,622,12.6,21279,499.6,R
20175,36,6.4,56.6,2.7,33.7,28.7,26.6,11,3.1,55727,89.84168243,5,8,0,21428,-474,13.5,106,14.2,1238,35.9,R
20177,75.6,12.7,10.8,1.2,7.8,31.4,29.9,30.9,3.3,59451,95.84542084,3,2,1,176875,-415,1.1,132,9.8,5344,327.1,D
20179,95.3,1.2,3.3,0.2,3.9,34.1,40,22,2.2,54627,88.06829071,9,12,0,2521,-1,4,2,11.8,98,2.9,R
20181,86.8,2.4,10.8,0.3,7.7,30.3,40.3,21.8,2.7,54000,87.05745697,7,11,0,5917,0,-0.3,-1,12.5,268,5.7,R
20183,96.3,1.8,1.5,0.2,7,35.9,34.8,22.3,2.5,45915,74.02302551,9,12,0,3583,-7,0.6,0,11.6,112,4.3,R
20185,85.8,1.5,11.9,0.4,9.3,29.3,36.1,25.2,2.7,51007,82.23221588,9,10,0,4156,-6,0.5,0,13.7,183,5.6,R
20187,60.4,2.8,37,0.1,21.5,29.6,30,19,2.5,63401,102.2135162,9,12,0,2006,-19,4.5,12,10.6,71,3.3,R
20189,65.4,1.8,32.6,0.3,21.8,25.8,38.7,13.7,2.6,61264,98.76829529,7,9,0,5485,-51,5.4,23,9.7,209,7.9,R
